top # of balance,,spam_score,adr,balance@0516,note,
981,spam_score:,42068,GBCRZX73YTPTA7HSHVXNXYGJCUUKVUQMASELPXZ5WQVDUT7RLINS6N3Y,"10,350 ",,
2,spam_score:,21858,GDGVILYX4RATPIO6XTBXNIBEUZXI3EBI36NJXKGO4DVJINYJ5X42WXHF,"8,882,978 ",PCM,
3,spam_score:,16777,GDPYUVUM6MXY5RUAWPTATGVWNT34DSTDNC3J6KGD4EAVW36XTNQALX7N,"1,910,692 ",BarterMall,
536,spam_score:,10378,GCSCB2JMPWLYY6BJ2Q2NSKRSUDJTZ4WDP5SFMHQRU2URKXENFBY32LZS,"17,945 ",,
14609,spam_score:,4030,GC3ZUA5QA6E4GWF5SMK2IWRDTWPFAO3QFXUWT3MH6PQAN3PUJW22UHSA,1 ,,
4336,spam_score:,2121,GCYGA2GHSEXGEWY5AO7JPAJZGKKCSZNAOOTHBXQDCUR6RWT7666IXBKX,"2,793 ",,
9379,spam_score:,1267,GCWY2CAUXY3DTFINS7B7B2PNJJVSLAPLBZBXXOOLQ3FF6OWB6I5BTP4S,563 ,,
6359,spam_score:,1256,GCUFHDLLI43SRNC6HDRPTJTX2D2FS3CEG3LZIWAW7TIWM63ZJPCDYFI4,"1,560 ",,
10167,spam_score:,1248,GAKNPOHJ7M7VLFCBWNMNQOFC2NAXIIBUMKCNHWGWF6RGAFV6O34WZLEM,339 ,,
1105,spam_score:,1164,GBHRJDDXISGFW4CGQVRXXAS5FSANKDK7JGM6NY3VNR5ZV2NFHEH2NRMP,"9,870 ",,
14664,spam_score:,1092,GCPEN47QLZDG5ZJFHX33HE2DIRFR4DNPDIUETK3GQMFTDIQQA7VKNPYV,1 ,,
11602,spam_score:,1053,GBUKHQLPZ7PKK3HB2YPUU3OGFU5I7APRAIXEIOEC3D7IGCYKEKQC45DZ,22 ,,
8464,spam_score:,967,GAXEFEK2FIFA5B2YWOUHOMR5V2DOAUG224TINGLIAHUFQ7CMTXXPE53B,922 ,,
1594,spam_score:,955,GCISKUFE633ODK2TPEUTPRGSPQDLFKRWQSOPPJCGLUGOBOULU7NV3B54,"7,167 ",,
353,spam_score:,925,GDI3XKBALWNRYDHW5T2QF5OSEO35VFXYZLIJNTXXSBVY3RIZFEZKIKRS,"24,246 ",,
2262,spam_score:,897,GBLJRUYQV2AGMI3WIWTH5JJ2AJ62AZIZINIDR4YT7FN46FJE7Q6HZLKK,"5,183 ",,
10143,spam_score:,838,GDTYSZE7M5XLX27HBTJII4CTFCIZSIJSEVSL57ZJTOBCZJMQRBWED7B2,352 ,,
9159,spam_score:,794,GA4I7K6Q7P22VV6ATKU2JPNRHYYI5H5JHFM52CF5UX6VCCCBMTNSREF3,643 ,,
1495,spam_score:,789,GDZGWAUEQZ54OFHB3RKIEPVN6H2JROWLC65YNNK75TSLCALDMXD5TA6Q,"7,625 ",,
942,spam_score:,769,GCNY3DFU4DC226E5L3GLXYDE2B4T24TI7NVLODYT4RBGNVL62L3YGAEX,"10,694 ",,
2874,spam_score:,741,GATPK72IWN6RHLWLOD3DHZQEQYQF4TAETOPHZDR75BQKUH7WAJYBLFOI,"4,253 ",,
13801,spam_score:,730,GAM65K7VFULKP4ZULEWD5GDS7ASO3GNYFW6ICZEAXWPQJT64TZFIKYZY,1 ,,
9384,spam_score:,666,GD3YEIOGRUBIQXK72HZSRH77TBXKDKPFCP3Q5DXWIPCO7KEQVWB665WP,562 ,,
2623,spam_score:,625,GCGTB4RLEBYP5O5II5KNGNH3DSMGJWGCQI2BHSGQR6FOJZUCNEBNKIXH,"4,677 ",,
9919,spam_score:,625,GCHNI6KUF6N3MRJJJTCVG62NTYG3HHYPQNL3757PRZCGCQH5H5EC5OJ2,471 ,,
14378,spam_score:,607,GDS73TBQ5L2KX2D7EWMY43O4NB3RZXE4XFTH6SBRZK3QZJCB2L63GQHU,1 ,,
1561,spam_score:,573,GAYTNG4ER7SHGQRM2NVVGEHAVJJ54U55CFAU3SHKAWBURPLQSQJNUISD,"7,311 ",,
2565,spam_score:,567,GDWFFUYXYLV2OQKXC5TWJGZ6QTRNLLXVSVPN56XOHMQVJDRWGTQEWNTI,"4,784 ",,
177,spam_score:,546,GBSRE3S7GJ72LITFHCTMZ3DS27AVFDTOMLZF6PF47AG5RRCQ67YKJEI3,"38,066 ",,
5712,spam_score:,531,GCQLB6OQJSVMSKKEIVR5LTTDFQJTWC6IBOLFSOGOSECR6JUUOMUTQR7E,"1,957 ",,
6861,spam_score:,497,GDOTQMFDZEMJYNSH5XFQCJW45SWUCXGULNUSYWZ45LT6HNP2SMDSSXTK,"1,334 ",,
10304,spam_score:,491,GDFQ7JO6DO4QB3CV6JZH2AXRS66THXU2WKVJSIDI3PNDULKLC7KS65D3,269 ,,
14100,spam_score:,419,GDQL5Z75YOMIDLUSXYL6WBCRI7MDRX7LDEJXLCJR7OHHEYXLEJUQMYSY,1 ,,
14775,spam_score:,367,GB6EJFHQFGGUZ27LYXKOUE3OBLI6WOBUORADGU6WLTMZKBITVS2UUU73,1 ,,
1,spam_score:,366,GABT7EMPGNCQSZM22DIYC4FNKHUVJTXITUF6Y5HNIWPU4GA7BHT4GC5G,"52,526,042 ",PCT,
12099,spam_score:,360,GBXAB2CT7DMXNFGBVLSUXDPJGW57ULC6Y5KKPAEG2PE6EBATDITNTCHY,7 ,,
13161,spam_score:,360,GBNIS5O4J257TJDYDWMSPY7V43ZOUVEGBU6ZPGPIDFY5MCF2TL4O74OD,2 ,,
7381,spam_score:,358,GBEFGV22UBGVS6VJNAJ74BCERCDNLDYIPNNLWAGLGRJRI2I6EQ3BXQ7Q,"1,139 ",,
6161,spam_score:,355,GDCWWQUWYG7WUQVAKVX5UEVREJ2AZ4AGC347UHXSSD3QDSV3UWXDPSBK,"1,659 ",,
